# Vehicles' horsepower, weight, # of cylinders of the engine,
# displacement or volume, and mpg (miles per gallon)
# Missing data is shown with ? or - symbols 
"horsepower","weight","cylinders","displacement","mpg"
150,4237,8,318,14
215,4735,8,440,13
225,4951,8,455,12
175,3821,8,360,13
105,3121,6,225,18
100,3278,6,250,16
100,2945,6,232,18
88,3021,6,250,18
95,2904,6,198,23
46,1950,4,97,26
150,4997,8,400,11
167,4906,8,400,12
170,4654,8,360,13
180,4499,8,350,12
100,2789,6,232,18
88,2279,4,97,20
72,2401,4,140,21
94,2379,4,108,22
90,2124,3,70,18
85,2310,4,122,19
107,2472,6,155,21
90,2265,4,98,26
145,4082,8,350,15
230,4278,8,400,16
49,1867,4,68,29
75,2158,4,116,24
91,2582,4,114,20
112,2868,4,121,19
150,3399,8,318,15
110,2660,4,121,24
122,2807,6,156,20
180,3664,8,350,11
95,3102,6,198,20
100,2901,6,232,19
100,3336,6,250,15
67,1950,4,79,31
80,2451,4,122,26
65,1836,4,71,32
75,2542,4,140,25
100,3781,6,250,16
110,3632,6,258,16
105,3613,6,225,18
140,4141,8,302,16
150,4699,8,350,13
150,4457,8,318,14
140,4638,8,302,14
150,4257,8,304,14
83,2219,4,98,29
67,1963,4,79,26
78,2300,4,97,26
52,1649,4,76,31
61,2003,4,83,32
75,2125,4,90,28
75,2108,4,90,24
75,2246,4,116,26
97,2489,4,120,24
93,2391,4,108,26
67,2000,4,79,31
95,3264,6,225,19
105,3459,6,250,18
72,3432,6,250,15
72,3158,6,250,15
170,4668,8,400,16
145,4440,8,350,15
150,4498,8,318,16
148,4657,8,351,14
110,3907,6,231,17
105,3897,6,250,16
110,3730,6,258,15
95,3785,6,225,18
110,3039,6,231,21
110,3221,8,262,20
129,3169,8,302,13
75,2171,4,97,29
83,2639,4,140,23
100,2914,6,232,20
78,2592,4,140,23
96,2702,4,134,24
71,2223,4,90,25
97,2545,4,119,24
97,2984,6,171,18
70,1937,4,90,29
90,3211,6,232,19
95,2694,4,115,23
88,2957,4,120,23
98,2945,4,121,22
115,2671,4,121,25
53,1795,4,91,33
86,2464,4,107,28
81,2220,4,116,25
92,2572,4,140,25
79,2255,4,98,26
83,2202,4,101,27
140,4215,8,305,17.5
150,4190,8,318,16
120,3962,8,304,15.5
152,4215,8,351,14.5
100,3233,6,225,22
105,3353,6,250,22
81,3012,6,200,24
90,3085,6,232,22.5
52,2035,4,85,29
60,2164,4,98,24.5
70,1937,4,90,29
53,1795,4,91,33
100,3651,6,225,20
78,3574,6,250,18
110,3645,6,250,18.5
95,3193,6,258,17.5
71,1825,4,97,29.5
70,1990,4,85,32
75,2155,4,97,28
72,2565,4,140,26.5
102,3150,4,130,20
150,3940,8,318,13
88,3270,4,120,19
108,2930,6,156,19
120,3820,6,168,16.5
180,4380,8,350,16.5
145,4055,8,350,13
130,3870,8,302,13
150,3755,8,318,13
68,2045,4,98,31.5
80,2155,4,111,30
58,1825,4,79,36
96,2300,4,122,25.5
70,1945,4,85,33.5
145,3880,8,305,17.5
110,4060,8,260,17
145,4140,8,318,15.5
130,4295,8,302,15
110,3520,6,250,17.5
105,3425,6,231,20.5
100,3630,6,225,19
98,3525,6,250,18.5
180,4220,8,400,16
170,4165,8,350,15.5
190,4325,8,400,15.5
149,4335,8,351,16
78,1940,4,97,29
88,2740,4,151,24.5
75,2265,4,97,26
89,2755,4,140,25.5
63,2051,4,98,30.5
83,2075,4,98,33.5
67,1985,4,97,30
78,2190,4,97,30.5
97,2815,6,146,22
110,2600,4,121,21.5
110,2720,3,80,21.5
48,1985,4,90,43.1
66,1800,4,98,36.1
52,1985,4,78,32.8
70,2070,4,85,39.4
60,1800,4,91,36.1
110,3365,8,260,19.9
140,3735,8,318,19.4
139,3570,8,302,20.2
105,3535,6,231,19.2
95,3155,6,200,20.5
85,2965,6,200,20.2
88,2720,4,140,25.1
100,3430,6,225,20.5
90,3210,6,232,19.4
105,3380,6,231,20.6
85,3070,6,200,20.8
110,3620,6,225,18.6
120,3410,6,258,18.1
145,3425,8,305,19.2
165,3445,6,231,17.7
139,3205,8,302,18.1
140,4080,8,318,17.5
68,2155,4,98,30
95,2560,4,134,27.5
97,2300,4,119,27.2
75,2230,4,105,30.9
95,2515,4,134,21.1
105,2745,4,156,23.2
85,2855,4,151,23.8
97,2405,4,119,23.9
103,2830,5,131,20.3
125,3140,6,163,17
115,2795,4,121,21.6
133,3410,6,163,16.2
71,1990,4,89,31.5
68,2135,4,98,29.5
115,3245,6,231,21.5
85,2990,6,200,19.8
88,2890,4,140,22.3
90,3265,6,232,20.2
110,3360,6,225,20.6
130,3840,8,305,17
129,3725,8,302,17.6
138,3955,8,351,16.5
135,3830,8,318,18.2
155,4360,8,350,16.9
142,4054,8,351,15.5
125,3605,8,267,19.2
150,3940,8,360,18.5
71,1925,4,89,31.9
65,1975,4,86,34.1
80,1915,4,98,35.7
80,2670,4,121,27.4
77,3530,5,183,25.4
125,3900,8,350,23
71,3190,4,141,27.2
90,3420,8,260,23.9
70,2200,4,105,34.2
70,2150,4,105,34.5
65,2020,4,85,31.8
69,2130,4,91,37.3
90,2670,4,151,28.4
115,2595,6,173,28.8
115,2700,6,173,26.8
90,2556,4,151,33.5
76,2144,4,98,41.5
60,1968,4,89,38.1
70,2120,4,98,32.1
65,2019,4,86,37.2
90,2678,4,151,28
88,2870,4,140,26.4
90,3003,4,151,24.3
90,3381,6,225,19.1
78,2188,4,97,34.3
90,2711,4,134,29.8
75,2542,4,120,31.3
92,2434,4,119,37
75,2265,4,108,32.2
65,2110,4,86,46.6
105,2800,4,156,27.9
65,2110,4,85,40.8
48,2085,4,90,44.3
48,2335,4,90,43.4
67,2950,5,121,36.4
67,3250,4,146,30
67,1850,4,91,44.6
67,2145,4,97,33.8
62,1845,4,89,29.8
132,2910,6,168,32.7
100,2420,3,70,23.7
88,2500,4,122,35
72,2290,4,107,32.4
84,2490,4,135,27.2
84,2635,4,151,26.6
92,2620,4,156,25.8
110,2725,6,173,23.5
84,2385,4,135,30
58,1755,4,79,39.1
64,1875,4,86,39
60,1760,4,81,35.1
67,2065,4,97,32.3
65,1975,4,85,37
62,2050,4,89,37.7
68,1985,4,91,34.1
63,2215,4,105,34.7
65,2045,4,98,34.4
65,2380,4,98,29.9
74,2190,4,105,33
75,2210,4,107,33.7
75,2350,4,108,32.4
100,2615,4,119,32.9
74,2635,4,120,31.6
80,3230,4,141,28.1
76,3160,6,145,30.7
116,2900,6,168,25.4
120,2930,6,146,24.2
110,3415,6,231,22.4
105,3725,8,350,26.6
88,3060,6,200,20.2
85,3465,6,225,17.6
88,2605,4,112,28
88,2640,4,112,27
88,2395,4,112,34
85,2575,4,112,31
84,2525,4,135,29
90,2735,4,151,27
92,2865,4,140,24
74,1980,4,105,36
68,2025,4,91,37
68,1970,4,91,31
63,2125,4,105,38
70,2125,4,98,36
88,2160,4,120,36
75,2205,4,107,36
70,2245,4,108,34
67,1965,4,91,38
67,1965,4,91,32
67,1995,4,91,38
110,2945,6,181,25
85,3015,6,262,38
92,2585,4,156,26
112,2835,6,232,22
96,2665,4,144,32
84,2370,4,135,36
90,2950,4,151,27
86,2790,4,140,27
52,2130,4,97,44
84,2295,4,135,32
79,2625,4,120,28
82,2720,4,119,31
